FF_TOPIC,Keyword1,Keyword2,Key,FF_CLUSTER_THEME,FF_SCOPE,FF_FOCUS
"High-level international/inter-governmental (like G7 etc.) policy related to open science, FAIR data sharing and data infrastructure",policy,international,Policy,Open Science / Open Research Commons,Policy alignment,Sustainability
Innovation policy making SDGs,policy,na,Policy,Open Science / Open Research Commons,Policy alignment,Sustainability
Recognition of preprint peer review in research assessement and funding decision making,reward,rewards,Rewards,Research Assessment,Policy alignment,Incentives
Research assessment,reward,rewards,Rewards,Research Assessment,Policy alignment,Incentives
research assessment in the context of open science and rdm more specifically,reward,rewards,Rewards,Research Assessment,Policy alignment,Incentives
Rewarding good research practice in data management and sharing,reward,rewards,Rewards,Research Assessment,Policy alignment,Incentives
Data Skills,training,skills,Training and skills,Skills,Implementation,Collaboration
educational means for all levels of carrer,training,skills,Training and skills,Skills,Policy alignment,Incentives
Data Governance,governance,policy,Data commons & Governance,Data lifecycle,Governance,Sustainability
"Sustainability models, including lifecycle and maturity models",sustainability,rdm,RDM-DMP,Data lifecycle,Implementation,Business models
sustainability of research data infrastructure,sustainability,repositories,Repositories,Data lifecycle,Implementation,Business models
Fostering a broader community of practitioners,practitioners,practitioner,Practitioners,Data lifecycle,Implementation,Collaboration
data for philanthropy / what data funders might contribute,philanthropy,funders,Funders,Data lifecycle,Implementation,Costs
Equity,equity,skills,Training and skills,Data lifecycle,Policy alignment,impact
Data quality,quality,reproducibility,Reproducibility,Data lifecycle,Policy alignment,Incentives
Environmental Sustainability of data,sustainability,Environmental,Sustainability,Data lifecycle,Policy alignment,Sustainability
funder alignment on issues related to research data,funders,funding,Funders,Data lifecycle,Policy alignment,Sustainability
Interoperable Data,Interoperability,metadata,Metadata,FAIR,Policy alignment,impact
Approaches to AHSS data and OA,open,Access,Open Access,Open Access,Implementation,Collaboration
Diamond Open Access,open,Access,Open Access,Open Access,Policy alignment,Incentives
Open Access,open,Access,Open Access,Open Access,Policy alignment,Incentives
open access mandates,open,Access,Open Access,Open Access,Policy alignment,Incentives
Assessing compliance with open data policies,open,policy,Policy,Open Data,Compliance,Collaboration
Sustainable business models for RDA,sustainability,governance,Sustainability,Open Science / Open Research Commons,Implementation,Business models
Broader research infrastructure connections / clusters,repository,repositories,Repositories,Open Science / Open Research Commons,Implementation,Collaboration
Integrating the preprint and open data infrastructures,access,repositories,Repositories,Open Science / Open Research Commons,Implementation,impact
Joining forces for developing and maintaining a data integrity toolset,repositories,Access,Open science,Open Science / Open Research Commons,Implementation,impact
Open science initiatives and impact of UNESCO's recommendations,open,science,Open science,Open Science / Open Research Commons,Implementation,impact
Open Science Monitoring,open,Science,Open science,Open Science / Open Research Commons,Implementation,impact
Data infrastructure/fabric,semantics,metadata,Metadata,Open Science / Open Research Commons,Implementation,Sustainability
Data management capacity building for longitudinal population studies,rdm,social,RDM-DMP,Open Science / Open Research Commons,Implementation,Sustainability
increasing diversity of funding avenues,funding,funders,Funders,Open Science / Open Research Commons,Implementation,Sustainability
"Principles to Implementations, like TRUST principles to certifications",open,trust,TRUST,Open Science / Open Research Commons,Policy alignment,alignment
Alignment with EOSC,eosc,commons,Data commons & Governance,Open Science / Open Research Commons,Policy alignment,Collaboration
Joint funding of projects on open science,funding,open,Funders,Open Science / Open Research Commons,Policy alignment,Collaboration
Links between Science Data and Government Data initiatives,data,government,Science data & government data,Open Science / Open Research Commons,Policy alignment,Collaboration
Open Research,open,science,Open science,Open Science / Open Research Commons,Policy alignment,Collaboration
Opportunities for collaborative funding at a global scale,funding,funders,Funders,Open Science / Open Research Commons,Policy alignment,Collaboration
Opportunities for joint calls,funding,funders,Funders,Open Science / Open Research Commons,Policy alignment,Collaboration
policy compatibility among funding agencies,funding,funders,Funders,Open Science / Open Research Commons,Policy alignment,Collaboration
Transitions,sustainability,policy,Policy,Open Science / Open Research Commons,Policy alignment,Collaboration
"Funding allocation for OS at a national level - who, how, priorities",funding,open,Funders,Open Science / Open Research Commons,Policy alignment,Costs
"Trends in research funding (e.g. use of Monte Carlo decision tools, etc.)",funding,funders,Funders,Open Science / Open Research Commons,Policy alignment,impact
Funding shared infrastructure,funding,repository,Repositories,Open Science / Open Research Commons,Policy alignment,Sustainability
Sharing of agency practices to identify where joined up efforts can support the research community,collaboration,funding,Funders,Open Science / Open Research Commons,Policy alignment,Sustainability
financial sustainability of RDA,funding,sustainability,Sustainability,RDA,Economics,Sustainability
impact assessment of data sharing (towards evaluation),open,sharing,Data sharing,Research Assessment,Policy alignment,impact
Incentive system,policy,open,Policy,Research Assessment,Policy alignment,impact
Data sharing in evaluation,open,sharing,Data sharing,Research Assessment,Policy alignment,Incentives
Data sharing incentives and policies,incentives,sharing,Data sharing,Research Assessment,Policy alignment,Incentives
